Time,5 Pa,5 Pa,5 Pa,0 Pa,0 Pa,0 Pa
0,0.4971463798,0.4971463798,0.3977171038,3.380595383,3.480024658,3.181736831
2,0.9942927596,0.8948634836,0.4971463798,3.082307555,3.181736831,2.883449003
4,1.193151311,1.292580587,0.8948634836,2.784019727,2.784019727,2.585161175
6,1.392009863,1.491439139,0.9942927596,2.684590451,2.585161175,2.187444071
8,1.590868415,1.889156243,1.292580587,2.386302623,2.286873347,1.789726967
10,1.690297691,2.088014795,1.491439139,2.088014795,1.988585519,1.590868415
12,1.988585519,2.286873347,1.690297691,1.988585519,1.590868415,1.292580587
14,2.286873347,2.585161175,1.789726967,1.690297691,1.491439139,0.9942927596
16,2.386302623,2.684590451,1.889156243,1.590868415,1.093722036,0.5965756557
18,2.386302623,2.784019727,1.988585519,1.292580587,0.8948634836,0.1988585519
20,2.485731899,2.883449003,2.187444071,0.8948634836,0.4971463798,0.09942927596
22,2.684590451,2.982878279,2.286873347,0.4971463798,,
24,2.784019727,3.082307555,2.485731899,,,
26,2.883449003,3.380595383,2.585161175,,,
28,3.082307555,3.480024658,2.684590451,,,
30,3.082307555,3.579453934,2.585161175,,,
32,3.082307555,,2.684590451,,,
34,3.281166107,,2.784019727,,,
36,3.281166107,,2.883449003,,,
38,3.67888321,,2.982878279,,,
40,3.67888321,,3.082307555,,,
42,3.877741762,,,,,
44,3.778312486,,,,,